C.J. Watson	PG	IND	63	5	18.9	6.6	2.3	5.3	43.7	0.8	0.8	36.6	1.1	1.4	78.4
Kevin Garnett	PF	BKN	54	54	20.5	6.5	2.9	6.6	44.1	0.0	0.0	0.0	0.7	0.9	80.9
DeJuan Blair	PF	DAL	78	13	15.6	6.4	2.7	5.0	53.4	0.0	0.0	0.0	1.0	1.6	63.6
Norris Cole	PG	MIA	82	6	24.6	6.4	2.5	6.1	41.4	0.7	0.7	34.5	0.6	0.8	77.9
Kosta Koufos	C	MEM	80	22	16.9	6.4	2.8	5.7	49.5	0.0	0.0	0.0	0.8	1.2	64.5
Marreese Speights	PF	GS	79	3	12.4	6.4	2.5	5.6	44.1	0.1	0.1	25.8	1.4	1.7	82.1
Luke Babbitt	SF	NO	27	2	17.5	6.3	2.2	5.7	39.0	1.3	1.3	37.9	0.5	0.7	77.8
Dante Cunningham	SF	MIN	81	7	20.2	6.3	2.9	6.3	46.5	0.0	0.0	0.0	0.5	0.8	56.7
E'Twaun Moore	PG	ORL	79	3	19.1	6.3	2.5	5.8	42.8	0.7	0.7	35.4	0.7	0.9	76.5
Quincy Pondexter	SF	MEM	15	2	18.0	6.3	2.1	5.3	39.2	0.7	0.7	32.4	1.4	1.7	80.8
Thabo Sefolosha	SF	OKC	61	61	26.0	6.3	2.3	5.6	41.5	0.8	0.8	31.6	0.9	1.1	76.8
Draymond Green	SF	GS	82	12	21.9	6.2	2.3	5.6	40.7	0.7	0.7	33.3	1.0	1.5	66.7
Chris Johnson	SF	BOS	40	0	19.7	6.2	2.1	5.4	39.7	1.1	1.1	33.9	0.9	1.1	86.0
Jon Leuer	PF	MEM	49	0	13.1	6.2	2.5	5.0	49.2	0.5	0.5	46.9	0.8	1.0	78.7
Ray Jr. McCallum	PG	SAC	45	10	19.9	6.2	2.5	6.7	37.7	0.5	0.5	37.3	0.7	1.0	74.4
Kyle O'Quinn	PF	ORL	69	19	17.2	6.2	2.7	5.4	50.1	0.0	0.0	0.0	0.8	1.2	68.7
Jeremy Evans	SF	UTA	66	4	18.3	6.1	2.7	5.0	52.7	0.0	0.0	0.0	0.8	1.1	68.0
Anthony Tolliver	PF	CHA	64	9	20.3	6.1	2.0	4.8	42.0	1.6	1.6	41.3	0.5	0.6	80.5
Kent Bazemore	SG	LAL	67	15	13.6	6.0	2.2	5.1	42.9	0.6	0.6	33.6	1.0	1.6	60.6
Tayshaun Prince	SF	MEM	76	76	25.6	6.0	2.6	6.5	40.7	0.3	0.3	29.0	0.4	0.8	56.7
Hollis Thompson	SG	PHI	77	41	22.6	6.0	2.2	4.8	46.0	0.9	0.9	40.1	0.7	0.9	71.2
Elliot Williams	SG	PHI	67	2	17.3	6.0	2.1	5.0	41.5	0.6	0.6	29.6	1.3	1.8	73.1
Chris Wright	SF	MIL	8	0	15.8	6.0	2.6	4.4	60.0	0.0	0.0	0.0	0.8	1.9	40.0
Cody Zeller	C	CHA	82	3	17.3	6.0	2.1	4.9	42.6	0.0	0.0	0.0	1.8	2.4	73.0
Alexis Ajinca	C	NO	56	30	17.0	5.9	2.4	4.4	54.6	0.0	0.0	0.0	1.0	1.2	83.6
Darrell Arthur	PF	DEN	68	1	17.1	5.9	2.4	6.0	39.5	0.4	0.4	37.5	0.8	0.9	85.5
Kentavious Caldwell-Pope	SG	DET	80	41	19.8	5.9	2.3	5.8	39.6	0.7	0.7	31.9	0.6	0.8	77.0
Omer Asik	C	HOU	48	19	20.2	5.8	2.1	4.0	53.2	0.0	0.0	0.0	1.6	2.6	61.9
Elton Brand	PF	ATL	73	15	19.4	5.7	2.5	4.5	53.9	0.0	0.0	0.0	0.8	1.3	64.9
Ed Davis	PF	MEM	63	4	15.2	5.7	2.5	4.6	53.4	0.0	0.0	0.0	0.7	1.4	52.8
Francisco Garcia	SG	HOU	55	4	19.7	5.7	2.1	5.3	40.1	1.3	1.3	35.8	0.2	0.3	52.6
Andrew Nicholson	PF	ORL	76	5	15.4	5.7	2.4	5.5	42.9	0.4	0.4	31.5	0.6	0.8	82.5
Tyler Zeller	C	CLE	70	9	15.0	5.7	2.2	4.1	53.8	0.0	0.0	0.0	1.2	1.7	71.9
Jimmer Fredette	PG	CHI	49	0	10.6	5.6	2.2	4.6	47.1	0.8	0.8	47.6	0.4	0.4	90.5
Cartier Martin	SF	ATL	59	6	14.7	5.6	1.9	4.5	42.0	1.0	1.0	39.1	0.8	1.1	73.8
Shawne Williams	SF	LAL	36	13	20.9	5.6	2.0	5.3	38.0	1.2	1.2	32.6	0.4	0.6	70.0
Donatas Motiejunas	PF	HOU	62	3	15.4	5.5	2.1	4.8	44.3	0.3	0.3	25.0	0.9	1.5	60.4
Travis Outlaw	SF	SAC	63	4	16.9	5.4	2.1	5.2	39.9	0.7	0.7	35.0	0.7	0.8	80.8
Robert Sacre	C	LAL	65	13	16.8	5.4	2.2	4.6	47.7	0.0	0.0	0.0	1.0	1.4	68.1
CJ McCollum	SG	POR	38	0	12.5	5.3	1.9	4.7	41.6	0.8	0.8	37.5	0.6	0.9	67.6
Casper Ware	PG	PHI	9	0	12.9	5.3	2.0	4.7	42.9	0.8	0.8	33.3	0.6	0.7	83.3
Derek Fisher	PG	OKC	81	0	17.6	5.2	1.7	4.5	39.1	1.1	1.1	38.4	0.7	0.9	77.5
Ben Gordon	SG	CHA	19	0	14.7	5.2	1.9	5.7	34.3	0.4	0.4	27.6	0.9	1.1	81.0
John Salmons	SF	TOR	78	8	22.1	5.2	1.9	5.3	36.3	0.8	0.8	38.7	0.5	0.7	76.9
Gerald Wallace	SF	BOS	58	16	24.4	5.1	2.0	4.0	50.4	0.3	0.3	29.7	0.8	1.7	46.5
Willie Green	SG	LAC	55	9	15.8	5.0	1.9	4.9	37.6	0.7	0.7	33.9	0.5	0.6	82.4
Cory Joseph	PG	SA	68	19	13.8	5.0	1.9	3.9	47.5	0.2	0.2	31.6	1.2	1.4	82.3
Andrei Kirilenko	SF	BKN	45	4	19.0	5.0	1.8	3.6	51.2	0.0	0.0	20.0	1.4	2.6	51.3
Luke Ridnour	PG	CHA	61	14	18.7	5.0	2.1	5.4	38.5	0.6	0.6	34.3	0.3	0.4	65.4
Dorell Wright	SG	POR	68	13	14.5	5.0	1.6	4.4	37.4	1.0	1.0	34.2	0.8	1.0	75.4
Nick Calathes	SG	MEM	71	7	16.5	4.9	2.0	4.4	45.7	0.3	0.3	31.1	0.6	1.0	61.1
Tyler Hansbrough	PF	TOR	64	4	15.3	4.9	1.5	3.1	47.4	0.0	0.0	0.0	2.0	2.9	68.1
Andre Miller	PG	WAS	58	2	16.9	4.9	1.8	4.0	45.9	0.2	0.2	52.4	1.0	1.3	77.9
Quincy Miller	SF	DEN	52	16	15.2	4.9	1.8	4.9	36.7	0.6	0.6	31.9	0.8	1.1	70.9
Beno Udrih	PG	MEM	41	12	15.7	4.9	1.9	4.3	43.8	0.5	0.5	45.2	0.6	0.7	83.3
Earl Clark	SF	NY	54	17	14.2	4.8	1.8	4.8	37.2	0.8	0.8	33.6	0.4	0.6	64.7
Gorgui Dieng	C	MIN	60	15	13.6	4.8	1.9	3.8	49.8	0.0	0.0	100.0	1.0	1.6	63.4
James Jones	SF	MIA	20	6	11.8	4.8	1.6	3.4	45.6	1.4	1.4	51.9	0.4	0.6	63.6
Anthony Randolph	PF	DEN	43	5	12.3	4.8	1.6	4.1	38.6	0.4	0.4	29.5	1.2	1.6	75.4
Thomas Robinson	PF	POR	70	0	12.5	4.8	2.0	4.2	48.1	0.0	0.0	0.0	0.8	1.4	56.4
Ronny Turiaf	C	MIN	31	10	19.5	4.8	2.1	3.5	59.8	0.0	0.0	0.0	0.7	1.6	42.0
Metta World Peace	SF	NY	29	1	13.4	4.8	1.9	4.9	39.7	0.6	0.6	31.5	0.3	0.6	62.5
Lavoy Allen	PF	IND	65	2	16.5	4.7	2.1	4.6	44.7	0.0	0.0	15.4	0.5	0.8	66.0
Matthew Dellavedova	SG	CLE	72	4	17.7	4.7	1.7	4.1	41.2	0.8	0.8	36.8	0.5	0.7	79.2
Jannero Pargo	PG	CHA	29	0	8.3	4.7	1.8	4.1	44.1	0.8	0.8	40.0	0.3	0.4	72.7
Kevin Seraphin	C	WAS	53	1	10.9	4.7	2.1	4.2	50.5	0.0	0.0	0.0	0.5	0.6	87.1
Isaiah Canaan	PG	HOU	22	0	11.5	4.6	1.4	4.0	35.6	0.8	0.8	32.7	1.0	1.3	72.4
Jae Crowder	SF	DAL	78	8	16.1	4.6	1.7	3.8	43.9	0.6	0.6	33.1	0.6	0.8	75.4
Charlie Villanueva	PF	DET	20	0	9.0	4.6	1.8	4.6	38.0	0.7	0.7	25.0	0.4	0.7	57.1
MarShon Brooks	SG	LAL	35	0	9.1	4.5	1.6	3.6	45.6	0.4	0.4	52.0	0.9	1.3	72.7
Rashard Lewis	PF	MIA	60	6	16.2	4.5	1.6	3.9	41.5	0.8	0.8	34.3	0.4	0.6	78.8
Tony Snell	SG	CHI	77	12	16.0	4.5	1.7	4.4	38.4	0.7	0.7	32.0	0.4	0.5	75.6
Jason Terry	SG	SAC	35	0	16.3	4.5	1.6	4.3	36.2	1.1	1.1	37.9	0.3	0.4	66.7
Vitor Faverani	C	BOS	37	8	13.2	4.4	1.7	4.0	43.5	0.3	0.3	30.0	0.6	1.0	64.9
Darius Miller	SF	NO	45	7	16.1	4.4	1.6	3.7	44.0	0.6	0.6	32.5	0.6	0.8	80.6
Gustavo Ayon	PF	ATL	26	14	16.5	4.3	2.0	3.9	51.0	0.0	0.0	0.0	0.3	0.8	40.0
Kenyon Martin	PF	NY	32	15	19.8	4.3	2.0	3.8	51.2	0.0	0.0	0.0	0.3	0.6	57.9
Anthony Bennett	SF	CLE	52	0	12.8	4.2	1.5	4.3	35.6	0.2	0.2	24.5	0.8	1.3	63.8
Nick Collison	PF	OKC	81	0	16.7	4.2	1.7	3.0	55.6	0.0	0.0	23.5	0.8	1.1	71.0
Mike Harris	SF	UTA	20	0	11.2	4.2	1.4	3.0	47.5	0.0	0.0	0.0	1.3	1.4	96.3
Jonas Jerebko	SF	DET	64	0	11.6	4.2	1.5	3.2	47.1	0.5	0.5	41.9	0.7	0.9	72.9
Carl Landry	PF	SAC	18	1	12.9	4.2	1.7	3.3	51.7	0.0	0.0	0.0	0.8	0.9	82.4
Byron Mullens	C	PHI	45	0	9.2	4.2	1.6	3.7	44.2	0.7	0.7	37.1	0.2	0.4	50.0
Shane Battier	SF	MIA	73	56	20.1	4.1	1.4	3.8	38.2	1.0	1.0	34.8	0.2	0.3	65.2
Jorge Gutierrez	PG	BKN	15	2	16.3	4.1	1.7	3.6	46.3	0.2	0.2	25.0	0.6	0.8	75.0
Jarvis Varnado	PF	PHI	24	0	14.1	4.1	1.5	2.5	60.0	0.0	0.0	0.0	1.1	2.2	51.9
Will Barton	SG	POR	41	0	9.4	4.0	1.6	3.8	41.7	0.2	0.2	30.3	0.6	0.8	81.2
Toney Douglas	PG	MIA	51	17	13.2	4.0	1.4	3.7	38.4	0.6	0.6	30.4	0.5	0.7	73.5
Reggie Evans	PF	SAC	54	20	16.6	4.0	1.3	2.8	47.3	0.0	0.0	0.0	1.3	2.4	55.4
Alonzo Gee	SF	CLE	65	24	15.7	4.0	1.5	3.6	41.5	0.3	0.3	32.8	0.7	0.9	70.5
Darius Morris	PG	MEM	27	0	11.6	4.0	1.4	3.6	40.6	0.4	0.4	31.6	0.6	1.0	65.4
Josh Powell	PF	HOU	1	0	19.0	4.0	2.0	6.0	33.3	0.0	0.0	0.0	0.0	0.0	0.0
Alexey Shved	PG	MIN	63	0	10.5	4.0	1.2	3.8	32.1	0.5	0.5	29.4	1.1	1.4	75.6
Shabazz Muhammad	SF	MIN	37	0	7.8	3.9	1.5	3.4	46.0	0.1	0.1	27.3	0.7	1.1	65.0
